nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13142112,0.40444002,0.1872739,0.44390047,0.20072809,0.51360476,0.3511818,0.38876462,0.35424113,0.49192294,0.34421024,0.2840978,0.35597154,0.32386404,0.49395472,0.48962006,0.48913988,0.5620631,0.6570317,0.33243465,0.68735474,0.55453634,0.8790196,0.34100062,0.81163776,0.71945715,backhand-volley
0.13914606,0.4001515,0.18578702,0.44748315,0.20393375,0.50066715,0.34901804,0.38843298,0.35345018,0.4233452,0.3351364,0.2752069,0.35231113,0.30164137,0.49440187,0.4931867,0.49139687,0.5579097,0.67019594,0.33373898,0.6880931,0.55279815,0.89059114,0.3416079,0.817114,0.7227802,backhand-volley
0.13852641,0.39855418,0.18388033,0.45026276,0.20117109,0.49940452,0.3375823,0.3877301,0.35395008,0.41992804,0.32571977,0.2645981,0.34619188,0.28781113,0.4883394,0.49605852,0.48629674,0.562483,0.66500247,0.33633417,0.67729324,0.5571377,0.8894137,0.33960646,0.8161738,0.717474,backhand-volley
0.1394658,0.40186453,0.1845482,0.46213514,0.19747424,0.5152981,0.332933,0.3984363,0.33619386,0.42734885,0.3250119,0.27147648,0.34294814,0.29102868,0.4901058,0.5112828,0.48369572,0.5763269,0.6603535,0.35518548,0.6637701,0.5618138,0.8839315,0.35161263,0.8190892,0.72483844,backhand-volley
0.14109513,0.4064934,0.1979005,0.46206498,0.20002608,0.51666164,0.33405924,0.3922555,0.33544168,0.4246642,0.3257209,0.26761323,0.34411308,0.28872395,0.48799175,0.52025473,0.48168802,0.58614206,0.6607661,0.36631387,0.6586157,0.56484014,0.8861928,0.35651827,0.8170153,0.7148012,backhand-volley
0.13911566,0.4180833,0.18308356,0.47726434,0.19403344,0.5290655,0.33233416,0.39819533,0.33682626,0.46409082,0.3256812,0.27211046,0.3425462,0.29903886,0.48153615,0.536916,0.47762102,0.60282385,0.6563847,0.37976205,0.65195054,0.5693348,0.88132566,0.3730091,0.8214792,0.7183372,backhand-volley
0.1449731,0.42623007,0.18660554,0.4812189,0.20106235,0.54242265,0.33591515,0.39535093,0.35460228,0.50279194,0.32802403,0.26946786,0.3436205,0.30216128,0.48548377,0.5476836,0.47983867,0.61454093,0.66115797,0.39272663,0.6474047,0.5793199,0.89565134,0.37862527,0.8254828,0.71374077,backhand-volley
0.15229201,0.43509564,0.18112557,0.49614248,0.19643168,0.5580033,0.31898677,0.40600193,0.3488209,0.49093348,0.3222841,0.2727405,0.35833943,0.30637515,0.47640198,0.563111,0.47332633,0.6325644,0.64216363,0.41131002,0.6353549,0.5890815,0.8768508,0.38097757,0.8223871,0.7105126,backhand-volley
0.15985183,0.4369329,0.1810001,0.501217,0.19168334,0.5665772,0.32249847,0.40864325,0.35665715,0.5081879,0.37809607,0.27777547,0.38521898,0.3179021,0.47675496,0.58057004,0.4775418,0.65148604,0.65179324,0.4201896,0.639332,0.59612167,0.888639,0.39052433,0.8386001,0.7035551,backhand-volley
0.15851438,0.44179803,0.17002264,0.5178443,0.18759862,0.56984586,0.31260478,0.42209396,0.35602993,0.5030279,0.33887893,0.2884373,0.39837584,0.33384305,0.47866186,0.59778696,0.47684735,0.6675098,0.65398294,0.44171843,0.6342648,0.61235374,0.8847653,0.40645728,0.8361346,0.6971943,backhand-volley
