nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13708885,0.546791,0.20959494,0.43992335,0.23113886,0.5810794,0.32136947,0.47269297,0.3290236,0.68119043,0.30341488,0.5815264,0.36619493,0.8004477,0.4701649,0.37930474,0.48193628,0.47850248,0.6519108,0.3185495,0.6845898,0.53533334,0.81989074,0.20731774,0.88148797,0.4775507,forehand-volley
0.13439897,0.55380654,0.2045552,0.44596076,0.22689778,0.5863008,0.30888832,0.47653675,0.3133173,0.6947908,0.28154737,0.5884398,0.34731948,0.825928,0.46650848,0.38390905,0.4773124,0.48184258,0.6542908,0.3287177,0.6876484,0.5318345,0.8238968,0.22603777,0.8852817,0.47563118,forehand-volley
0.12931043,0.53089005,0.20263664,0.42686224,0.22278589,0.5666784,0.30428728,0.4465755,0.30384275,0.6949123,0.28685695,0.53994757,0.32587546,0.8106642,0.45694935,0.3662783,0.46681905,0.46079457,0.65280676,0.31658855,0.6824435,0.508348,0.82677364,0.21651177,0.88762057,0.45044792,forehand-volley
0.12708168,0.5331047,0.20044303,0.42137218,0.21711326,0.5745357,0.34310815,0.36254287,0.28444928,0.7209097,0.43900424,0.3381896,0.302836,0.8431265,0.44054005,0.366993,0.4485677,0.46419495,0.64351034,0.3335527,0.66920865,0.49801883,0.8343625,0.25550607,0.8799944,0.43720758,forehand-volley
0.12468927,0.4936753,0.19970958,0.3796693,0.22132292,0.54362124,0.32994223,0.3226473,0.28396854,0.6815247,0.43344277,0.28894,0.3035928,0.8006326,0.44357452,0.32603526,0.45415598,0.42296776,0.6469102,0.30337656,0.67701113,0.45010543,0.85874575,0.22388375,0.8868548,0.39069766,forehand-volley
0.13677445,0.48856133,0.21086797,0.37457395,0.22486389,0.5426712,0.33403045,0.3221266,0.28372297,0.6768419,0.4227632,0.28606653,0.3061002,0.7873579,0.45165342,0.32078585,0.46074057,0.41382617,0.64786184,0.318261,0.6741108,0.4423018,0.86351335,0.24738711,0.8872136,0.3771602,forehand-volley
0.12155107,0.47405356,0.19925651,0.36818808,0.21688251,0.53382427,0.320732,0.30706337,0.2745408,0.6560389,0.40701538,0.2643054,0.29223472,0.78130645,0.44185778,0.31531495,0.45471388,0.40712887,0.6424142,0.31889856,0.659383,0.4217115,0.8718294,0.2597579,0.8793088,0.36242306,forehand-volley
0.13041739,0.46615285,0.20990406,0.35573006,0.21935056,0.52916664,0.31366378,0.29755098,0.28467134,0.64244366,0.41047248,0.2553792,0.29683542,0.7559454,0.45637393,0.30592397,0.4652601,0.39497313,0.658196,0.32502207,0.6739711,0.41296288,0.8732481,0.27082002,0.883186,0.3513022,forehand-volley
0.12243129,0.4663306,0.21020797,0.35575816,0.21856216,0.53316087,0.3144562,0.2989844,0.27370092,0.6410446,0.40931475,0.25648013,0.2881553,0.7424573,0.45722184,0.30668712,0.46512634,0.39376354,0.65204895,0.3353221,0.65926,0.40670037,0.85635036,0.2993054,0.8719044,0.3484317,forehand-volley
0.13313006,0.47235423,0.21552937,0.3668077,0.2259464,0.54228675,0.32169554,0.30487552,0.28005,0.64660704,0.41541284,0.26077682,0.28793553,0.7386894,0.46021923,0.31689417,0.46516058,0.4017746,0.6707541,0.35613936,0.6804031,0.4136181,0.86737275,0.33228874,0.88912904,0.34307837,forehand-volley
0.13844445,0.47743678,0.21598272,0.37314755,0.22393422,0.54992557,0.32337612,0.3141554,0.27688494,0.6642207,0.4095593,0.26982066,0.28935254,0.73749936,0.45550072,0.33238518,0.46326214,0.41063437,0.6640738,0.37147412,0.67558813,0.4211796,0.84565926,0.35883498,0.8739039,0.3524285,forehand-volley
0.13301793,0.48410878,0.21092594,0.3747586,0.22206801,0.5527921,0.32006115,0.31568426,0.2739354,0.6675308,0.40946072,0.26491973,0.27454168,0.7305577,0.4601302,0.33682054,0.46455812,0.4130813,0.67704546,0.39617282,0.69499755,0.41473448,0.8554139,0.37149382,0.8841702,0.34229177,forehand-volley
0.1380225,0.504542,0.21628861,0.38358957,0.21956569,0.5533099,0.3235251,0.3181057,0.27647287,0.66415155,0.403248,0.27461463,0.2681179,0.72449726,0.46180302,0.35218927,0.4640298,0.4280382,0.6766007,0.41966742,0.70049167,0.41683537,0.8577111,0.40262222,0.88816977,0.33996785,forehand-volley
0.1360666,0.51248336,0.21055369,0.3895076,0.20936775,0.56601155,0.32525352,0.32369912,0.26944882,0.6680564,0.3947404,0.27461338,0.24881876,0.72421706,0.46056634,0.359557,0.46093962,0.43813595,0.66919225,0.4397454,0.6933937,0.43059736,0.85460156,0.44984114,0.88716173,0.33351478,forehand-volley
0.12889513,0.5135243,0.20682947,0.39191675,0.2137461,0.56965256,0.3179632,0.33104974,0.2673934,0.68181205,0.3847606,0.28603113,0.23243451,0.725892,0.46038997,0.37279135,0.4621436,0.4540711,0.67366326,0.44643795,0.6990957,0.4451251,0.86440957,0.47878224,0.88159364,0.33490872,forehand-volley
0.1474966,0.5345101,0.21596408,0.39206022,0.21351057,0.56441647,0.32108116,0.32842547,0.2642997,0.66430664,0.3905133,0.2730206,0.22471273,0.7093272,0.47224104,0.37889642,0.47359955,0.45737702,0.6796219,0.4538736,0.700793,0.44885242,0.8649117,0.49901217,0.8790726,0.33507115,forehand-volley
0.14126973,0.5387082,0.21066248,0.40969405,0.21077165,0.5858617,0.31653893,0.33562037,0.25471956,0.68004787,0.3798208,0.2924772,0.18378147,0.7108921,0.4745618,0.39760873,0.47692,0.48564577,0.6921377,0.47717983,0.7025515,0.46778294,0.87983,0.532837,0.88178134,0.34722084,forehand-volley
0.14535765,0.5592022,0.21604034,0.4120365,0.21392304,0.59205234,0.32526153,0.34119734,0.25461245,0.67921656,0.38325232,0.29229805,0.19382697,0.6889471,0.48035824,0.40819162,0.48464072,0.49911255,0.6949109,0.49058414,0.7080576,0.48185357,0.8769781,0.5508456,0.88935965,0.3400573,forehand-volley
0.14198926,0.5640164,0.21569042,0.4278967,0.2101757,0.6033598,0.32766628,0.35177284,0.24645403,0.67833966,0.37725538,0.3028468,0.20456287,0.6917435,0.47744676,0.42660746,0.48209506,0.52330494,0.69040084,0.5310327,0.7087988,0.5003416,0.87993217,0.57666594,0.8768577,0.35040987,forehand-volley
0.14707123,0.58048105,0.21741247,0.43488213,0.21544084,0.6133386,0.32740912,0.35468158,0.2507857,0.68231314,0.3884141,0.3007208,0.19395104,0.6946258,0.4916132,0.4444333,0.49386263,0.53031397,0.6980332,0.5479163,0.7175816,0.52735895,0.8882863,0.59478676,0.875956,0.36957204,forehand-volley
0.1383459,0.557351,0.22085673,0.4427571,0.21747392,0.62615645,0.3296627,0.36436558,0.23290068,0.69222724,0.38753185,0.30201018,0.17587236,0.67135954,0.49643987,0.45591018,0.50148183,0.55832136,0.6979434,0.5732225,0.72066176,0.54605496,0.88171834,0.60698134,0.8702035,0.38032386,forehand-volley
0.14367418,0.58626676,0.23146346,0.45192215,0.22315964,0.6364629,0.33648166,0.3739743,0.24230361,0.69235146,0.39387462,0.3075233,0.16487017,0.6757982,0.50158757,0.46687514,0.506448,0.5692395,0.7038359,0.6024523,0.7295263,0.5677123,0.8847777,0.6145711,0.86306757,0.39549106,forehand-volley
0.14281905,0.59963536,0.23007998,0.46080977,0.22028276,0.65295064,0.34474933,0.37972742,0.21978071,0.7018486,0.3891755,0.31103128,0.14805129,0.6682409,0.50711495,0.47602785,0.5079447,0.5843389,0.69961447,0.6204202,0.7296907,0.5881467,0.8834964,0.62162924,0.86929286,0.41005927,forehand-volley
0.14140618,0.60964376,0.23268369,0.45990166,0.22448926,0.659035,0.350257,0.3685486,0.21502966,0.69694847,0.38603887,0.32102972,0.14786717,0.6512904,0.5154889,0.47805536,0.51919276,0.5839628,0.71153045,0.6207701,0.7422857,0.59628856,0.8912163,0.62820023,0.86762536,0.42057616,forehand-volley
0.12894893,0.5992186,0.23102608,0.45559192,0.21928452,0.666113,0.33994228,0.37233758,0.20863912,0.6795839,0.39198124,0.31291783,0.15650027,0.61750007,0.5131762,0.47790763,0.51738626,0.5838492,0.7038286,0.6127957,0.7372641,0.6053599,0.8886816,0.6146734,0.85169303,0.42714947,forehand-volley
0.12356468,0.59867483,0.23244715,0.46396908,0.21466815,0.68145216,0.34962007,0.3775123,0.2240493,0.67406774,0.395817,0.32280457,0.18661794,0.590891,0.51394224,0.49169022,0.51482916,0.5916909,0.7082614,0.61370856,0.7386226,0.6152388,0.89162266,0.6299232,0.8597261,0.44388217,forehand-volley
0.12747124,0.6020363,0.23562786,0.4700119,0.21637237,0.6801264,0.36042082,0.39272958,0.30165666,0.62587714,0.39847252,0.34224325,0.27314737,0.56606877,0.50597376,0.4912225,0.50846756,0.59011555,0.70434415,0.61278075,0.7295615,0.6145086,0.8851678,0.62563586,0.84605515,0.4664498,forehand-volley
0.1233584,0.5825516,0.23052952,0.46130967,0.22442171,0.67467785,0.36073372,0.38706717,0.33184502,0.6242455,0.40505165,0.33780956,0.33389968,0.55293727,0.50499225,0.48421356,0.5081737,0.5822793,0.69804925,0.60136855,0.72305727,0.62221646,0.8845061,0.6109403,0.85093397,0.46522304,forehand-volley
0.12496613,0.57716006,0.23066035,0.46030563,0.2254785,0.66949475,0.36366493,0.38957167,0.3260349,0.6197279,0.41895363,0.33443755,0.33003798,0.55291325,0.5063001,0.47889662,0.51011044,0.5811581,0.7032449,0.5870445,0.7158637,0.62226224,0.8967384,0.60101676,0.84881705,0.4892571,forehand-volley
0.12329777,0.5800444,0.21959506,0.46300155,0.2226974,0.67122716,0.34451804,0.3977577,0.3255101,0.62469506,0.40956706,0.3506722,0.33167413,0.56694853,0.493816,0.48024762,0.496777,0.584683,0.6890194,0.5886393,0.7003836,0.6360002,0.885967,0.57868344,0.8381022,0.5326046,forehand-volley
