Shot,FrameId
backhand-volley,114
forehand-volley,206
backhand-volley,277
forehand-volley,344
forehand-volley,449
backhand-volley,512
backhand-volley,568
forehand-volley,621
forehand-volley,681
backhand-volley,739
forehand-volley,789
forehand-volley,841
backhand-volley,918
forehand-volley,973
backhand-volley,1036
forehand-volley,1085
forehand-volley,1151
backhand-volley,1204
backhand-volley,1249
forehand-volley,1302
forehand-volley,1472
forehand-volley,1522
forehand-volley,1577
backhand-volley,1711
backhand-volley,1782
forehand-volley,2284
backhand-volley,2340
backhand-volley,2409
forehand-volley,2475
backhand-volley,2531
backhand-volley,2584
forehand-volley,2643
forehand-volley,2704
forehand-volley,2764
forehand-volley,2828
backhand-volley,2885
backhand-volley,2959
forehand-volley,3019
forehand-volley,3085
forehand-volley,3148
forehand-volley,3196
backhand-volley,3255
forehand-volley,3309
forehand-volley,3593
forehand-volley,3646
forehand-volley,3707
forehand-volley,3834
backhand-volley,3881
backhand-volley,3936
forehand-volley,4083
forehand-volley,4139
