nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.15034136,0.40710196,0.19161135,0.44037306,0.18516287,0.5595056,0.35462365,0.4624529,0.3254205,0.575709,0.48132056,0.42870152,0.44262415,0.5549149,0.45273685,0.5256257,0.4503872,0.61146677,0.6760212,0.51525825,0.64770794,0.56489277,0.88802165,0.54443914,0.83411855,0.55481786,backhand-volley
0.16933475,0.38997465,0.19867206,0.42965722,0.19416718,0.5446446,0.35828218,0.45953137,0.33446747,0.5711282,0.4770143,0.42930847,0.43942225,0.50871515,0.45638514,0.5215236,0.45309192,0.60211986,0.6683673,0.49822915,0.6460686,0.54643303,0.8736857,0.5380842,0.8173655,0.53724813,backhand-volley
0.16891973,0.38861102,0.1956915,0.4366135,0.19054806,0.5471643,0.365232,0.4655831,0.33696824,0.56899,0.49540567,0.43273503,0.44761562,0.4850378,0.44947737,0.5400116,0.44848213,0.61025465,0.66894525,0.50457704,0.6442083,0.5362106,0.8634299,0.5494391,0.8086602,0.54227245,backhand-volley
0.17362188,0.37937245,0.19841692,0.42754942,0.19024172,0.54577917,0.37940657,0.46485174,0.33791178,0.5709985,0.5035652,0.4308852,0.47175965,0.507499,0.45791423,0.5498523,0.45504606,0.6191766,0.67824715,0.5021397,0.6464458,0.5222484,0.8832489,0.5702088,0.8199034,0.5538842,backhand-volley
0.15722653,0.38607353,0.18610936,0.4286071,0.18399076,0.54525554,0.36276993,0.46581325,0.32766557,0.57634914,0.49924183,0.43270192,0.4678913,0.54156613,0.44208694,0.5551394,0.4392113,0.6269332,0.67157716,0.5005548,0.64288753,0.52680373,0.8832339,0.5722532,0.8250036,0.5544212,backhand-volley
0.17243233,0.37514794,0.19267122,0.4230349,0.1863852,0.53776675,0.36146408,0.45897627,0.3319729,0.5737121,0.49656552,0.42676517,0.465945,0.539671,0.44686422,0.5458392,0.44556877,0.61848915,0.6756573,0.49549133,0.65380406,0.51995695,0.8693117,0.5792293,0.8353838,0.5512564,backhand-volley
0.1672107,0.36782464,0.18343064,0.41688728,0.18445104,0.5405623,0.36294836,0.45695254,0.33073527,0.57546973,0.49395773,0.43501425,0.44242644,0.5062269,0.4485048,0.54971296,0.44455087,0.6342048,0.69434595,0.5087856,0.669574,0.5223211,0.87505865,0.59773535,0.84507984,0.56729865,backhand-volley
0.16561201,0.37234718,0.18202238,0.4173965,0.18273276,0.54258573,0.36234435,0.45766386,0.33230612,0.57697695,0.49555475,0.43262967,0.442598,0.5070466,0.44956487,0.5537323,0.4459198,0.6405339,0.696453,0.50400776,0.679631,0.52782863,0.8909793,0.5942997,0.8672487,0.57018965,backhand-volley
0.16192338,0.3639885,0.17792301,0.40577912,0.18243822,0.5341296,0.34223247,0.44798705,0.32726297,0.5753988,0.48936352,0.41547,0.44014144,0.50726706,0.44244462,0.5512226,0.43961856,0.6212221,0.679784,0.4988869,0.663578,0.53819996,0.8744983,0.59544843,0.84801245,0.5638558,backhand-volley
0.16411123,0.36636215,0.17403822,0.41958278,0.18264723,0.54746974,0.34001133,0.45476258,0.32901114,0.5787083,0.49648196,0.4141367,0.44293272,0.52979064,0.4449187,0.55221045,0.44116625,0.6307504,0.6809158,0.51282376,0.65841424,0.5416996,0.88427603,0.629166,0.8430335,0.5667524,backhand-volley
0.1519511,0.3714938,0.16659804,0.40908322,0.17713277,0.5484972,0.3395543,0.44836172,0.33338362,0.5932383,0.4915591,0.41209614,0.4310426,0.5338452,0.44158384,0.5484867,0.43697006,0.6328633,0.6783351,0.5250156,0.662497,0.5449889,0.8803441,0.6374105,0.8486171,0.5807353,backhand-volley
0.16498855,0.36926514,0.17688459,0.41337344,0.1875518,0.5524266,0.34101874,0.44980976,0.33583555,0.5787571,0.4916757,0.4115345,0.44297916,0.5307617,0.45019406,0.5470424,0.44457453,0.63070333,0.69160855,0.52245355,0.67173904,0.54915583,0.89303267,0.6398236,0.8654821,0.58060473,backhand-volley
0.14661387,0.36737105,0.15810218,0.4026553,0.17155121,0.54882693,0.3180832,0.4294632,0.32960153,0.57776415,0.4688757,0.39606583,0.4258177,0.54424274,0.4365687,0.5343326,0.43334812,0.62752855,0.68142956,0.5154208,0.65710217,0.54479295,0.8781332,0.6330693,0.8513671,0.5646172,backhand-volley
0.14478385,0.37172353,0.16573125,0.39981467,0.17408329,0.5557971,0.32789508,0.41878623,0.337573,0.5883166,0.47744724,0.38220316,0.43200028,0.5680299,0.44010052,0.5292925,0.43694124,0.62639356,0.68608344,0.5139943,0.66268337,0.5462828,0.88559103,0.63982004,0.86079454,0.57006204,backhand-volley
0.14280738,0.37173307,0.16571409,0.3957314,0.17725864,0.56215495,0.32405788,0.40817565,0.34517932,0.60779047,0.47636613,0.37620938,0.4491589,0.5856606,0.4332294,0.51488066,0.43279716,0.61886054,0.6812336,0.5014644,0.663787,0.55559283,0.8719892,0.6123139,0.8628676,0.5700181,backhand-volley
0.13047278,0.38830253,0.17632636,0.3921083,0.1810783,0.57199377,0.33748525,0.40465638,0.32963458,0.6456265,0.4783382,0.3764211,0.4214862,0.6101963,0.4320097,0.5196275,0.43117154,0.6245057,0.6899632,0.49785838,0.6735632,0.56864804,0.88141817,0.61087775,0.8793547,0.574521,backhand-volley
0.13046983,0.3825104,0.18694988,0.3841569,0.18848644,0.5653957,0.35824272,0.3876664,0.31646276,0.63491845,0.49769196,0.3625213,0.4023754,0.61348736,0.44285935,0.49535772,0.43670937,0.5998508,0.6851928,0.48065144,0.6608707,0.55751944,0.8629708,0.5888232,0.88711905,0.57074654,backhand-volley
0.14779311,0.38968858,0.19850276,0.390279,0.20352875,0.5675752,0.36182034,0.39800188,0.32984507,0.63325536,0.50356114,0.3667519,0.41797018,0.6147854,0.45115256,0.49889076,0.44646174,0.6006454,0.69187844,0.48334903,0.6686661,0.56409144,0.8625313,0.5879613,0.88148355,0.5736358,backhand-volley
0.12969264,0.40045083,0.19576196,0.38774392,0.19176339,0.5686703,0.35704392,0.39115,0.30706,0.6375301,0.4923734,0.36480117,0.391492,0.632714,0.45453724,0.48981845,0.44702885,0.59126693,0.689708,0.46611986,0.6561358,0.55765605,0.86143005,0.575223,0.8831331,0.5653158,backhand-volley
0.12700295,0.40583402,0.19927892,0.38536033,0.19173406,0.5660449,0.36894867,0.3815033,0.31279603,0.63700897,0.4956722,0.35844967,0.37591583,0.639459,0.46007264,0.47781286,0.45081502,0.58009523,0.6932186,0.4571358,0.6530894,0.54469264,0.8912413,0.54887664,0.8801601,0.5592668,backhand-volley
0.12671475,0.40520293,0.20306677,0.38961968,0.19367084,0.56560314,0.36530206,0.38402975,0.3027343,0.6307497,0.48480353,0.3624838,0.38570142,0.6424374,0.4700021,0.47519624,0.45987937,0.5738882,0.694762,0.44798586,0.66369694,0.54910135,0.89279425,0.53381133,0.87483907,0.5443739,backhand-volley
0.12703201,0.4051895,0.20993975,0.3840633,0.20213781,0.56364346,0.36296767,0.3834605,0.32096404,0.6254994,0.4836478,0.3618214,0.41482466,0.6299457,0.47184187,0.46732494,0.46208748,0.56474847,0.6879233,0.4527793,0.6585089,0.53816307,0.8861629,0.498246,0.863505,0.5581565,backhand-volley
0.12436277,0.42291233,0.21852058,0.38510212,0.21242392,0.56859094,0.3642155,0.38496906,0.32670757,0.6271468,0.47584546,0.36549544,0.42509198,0.6249947,0.47462368,0.4632263,0.46614242,0.5685267,0.6885841,0.4318714,0.6666533,0.5378171,0.90168047,0.48106045,0.884653,0.5512016,backhand-volley
0.12797593,0.42815357,0.22621422,0.3881665,0.21545398,0.56903386,0.3720202,0.38223404,0.33432895,0.62153757,0.47906768,0.36762142,0.4290355,0.6219144,0.47870523,0.45797595,0.47072253,0.56489944,0.6780261,0.4198485,0.6564846,0.5390028,0.8883922,0.4475935,0.86963916,0.5534161,backhand-volley
0.13294922,0.4304495,0.2263299,0.39131284,0.21332996,0.5701589,0.36750448,0.39416128,0.33248097,0.6263677,0.47111845,0.37862188,0.42521214,0.6218344,0.47880363,0.46493167,0.46813965,0.5708389,0.67289007,0.42871827,0.65203035,0.5427829,0.8852804,0.45351994,0.8617159,0.5563805,backhand-volley
0.13778032,0.42567796,0.23421332,0.3857265,0.22306141,0.5714626,0.3840146,0.38133544,0.34718567,0.619086,0.47692177,0.37855136,0.4549279,0.6051286,0.48722386,0.45406175,0.48024237,0.5621012,0.6814085,0.40073967,0.6561743,0.5401063,0.8932466,0.40031272,0.85729027,0.55426496,backhand-volley
