nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.14639974,0.48985362,0.24366757,0.3796993,0.25472254,0.5857631,0.38341278,0.33561823,0.3981242,0.62448347,0.40999708,0.43688414,0.46498686,0.5683386,0.50506544,0.42504126,0.4985906,0.54491913,0.69473636,0.35100275,0.6911962,0.63778216,0.8986597,0.28871086,0.8909503,0.7084774,forehand-volley
0.15098596,0.4723063,0.24831963,0.36891258,0.26257905,0.5804627,0.38818333,0.33710372,0.40537822,0.6184131,0.45014483,0.4480717,0.4729949,0.5576269,0.5133498,0.42399952,0.5056765,0.54434216,0.6920787,0.34140143,0.6898856,0.63894147,0.89456767,0.29579994,0.8762164,0.7100763,forehand-volley
0.14566812,0.47733778,0.23634371,0.37036395,0.25258607,0.5686878,0.3803239,0.34222478,0.40733355,0.6059985,0.44065553,0.44027457,0.4631562,0.55030453,0.5123672,0.3999116,0.5044113,0.53121233,0.6808554,0.3360477,0.6816694,0.6300299,0.88149834,0.28768557,0.8607854,0.7089397,forehand-volley
0.1278992,0.4743561,0.22938502,0.3692076,0.24821839,0.5737518,0.3795038,0.3418405,0.3964783,0.6145675,0.44181618,0.43283367,0.4649096,0.5623893,0.50678366,0.4009853,0.49871466,0.53195643,0.6810833,0.33588576,0.6829054,0.63122016,0.8850646,0.28542578,0.86565363,0.71273816,forehand-volley
0.14594367,0.4847692,0.2293173,0.36654705,0.2561896,0.56692755,0.3791449,0.338722,0.39532423,0.60053277,0.453633,0.4029493,0.4866732,0.5697722,0.5187367,0.38341305,0.51046634,0.5129734,0.6685773,0.3354991,0.6776459,0.6257747,0.8585443,0.29040843,0.865986,0.7140771,forehand-volley
0.1448459,0.5006689,0.21452644,0.35263187,0.25241968,0.5548773,0.36179495,0.3331858,0.40020907,0.59510064,0.36188528,0.4482026,0.4581781,0.6025729,0.5121852,0.35899144,0.5089557,0.48330486,0.6649058,0.3319195,0.68926644,0.61526006,0.86712694,0.27402037,0.88290894,0.71482193,forehand-volley
0.13250172,0.49464297,0.21709262,0.35335165,0.24714103,0.5579152,0.36103415,0.33671063,0.39917848,0.5988714,0.36445495,0.4465923,0.47965556,0.6181637,0.51245713,0.3639729,0.5075211,0.48768628,0.66407335,0.3351447,0.68712604,0.6286839,0.8655323,0.27766675,0.889855,0.7262425,forehand-volley
0.1515944,0.5207221,0.2127654,0.34815568,0.25117126,0.5434345,0.35887527,0.31353462,0.4077711,0.5718292,0.37659878,0.41837096,0.46740484,0.64223695,0.502151,0.33616257,0.5023353,0.4581258,0.6678339,0.33553863,0.6874415,0.5950249,0.87904453,0.26796058,0.8877132,0.715299,forehand-volley
0.15727869,0.5328308,0.20955232,0.3554896,0.24938308,0.5307293,0.34421584,0.2968704,0.40328526,0.56538516,0.36086595,0.40598655,0.4728236,0.66021293,0.49536714,0.3161987,0.4940635,0.43058857,0.67361784,0.34376618,0.69384813,0.59314793,0.8770474,0.25502154,0.89633274,0.70984054,forehand-volley
0.16429104,0.55127156,0.21369675,0.37090302,0.25962254,0.53209835,0.33886254,0.28695843,0.41831273,0.57357323,0.35770333,0.39344966,0.47249937,0.6767294,0.4947062,0.30674922,0.49024984,0.41905403,0.66818035,0.35166854,0.6869956,0.5738785,0.8752103,0.28026724,0.88004583,0.69340503,forehand-volley
0.15645124,0.55088943,0.202672,0.37326822,0.25695166,0.53591096,0.33107615,0.2746732,0.41159555,0.5773734,0.37887943,0.3696416,0.49345255,0.6704764,0.49126202,0.29384977,0.49055237,0.40289444,0.66585445,0.35586497,0.6824466,0.55999684,0.88084793,0.284409,0.89910996,0.66556513,forehand-volley
0.1582139,0.56870437,0.19824943,0.39318115,0.26449367,0.56510824,0.3094772,0.28612375,0.418186,0.58645654,0.36865458,0.3841557,0.49881548,0.6725244,0.4708303,0.30120984,0.4793826,0.4085067,0.6512174,0.3766924,0.6660838,0.5593896,0.86372423,0.32002306,0.88925713,0.6556741,forehand-volley
0.16319422,0.5968174,0.18937248,0.4095466,0.26509875,0.573853,0.2968936,0.29116923,0.41591737,0.5906697,0.3750726,0.37702045,0.4956842,0.6492114,0.458286,0.30962652,0.47149763,0.4099513,0.64201,0.38512355,0.66239846,0.5568018,0.86273074,0.33843237,0.88773435,0.6518234,forehand-volley
0.16587943,0.6273873,0.17977658,0.43976557,0.2668503,0.6053718,0.28163868,0.32851243,0.42773935,0.6291675,0.36393103,0.3936871,0.51020527,0.67455864,0.45396835,0.3408584,0.46947214,0.44734904,0.63962656,0.41903633,0.6639525,0.5933908,0.85524434,0.3644974,0.88685346,0.67554325,forehand-volley
0.1691666,0.6258608,0.17688146,0.4349564,0.2674391,0.5926144,0.28013164,0.31025976,0.4154131,0.60185975,0.3682583,0.3719319,0.5030851,0.63430923,0.44588384,0.32530335,0.46394706,0.42839357,0.63927263,0.40475342,0.668559,0.57556593,0.8505361,0.36317235,0.89516324,0.64495957,forehand-volley
0.16336852,0.6486982,0.16805652,0.44537592,0.2635539,0.6031717,0.260249,0.3319553,0.40704712,0.6102134,0.33790717,0.3900009,0.49903935,0.6309246,0.4457599,0.33821815,0.46172756,0.44299358,0.624964,0.425827,0.6528667,0.578899,0.85024065,0.3790071,0.8839375,0.6321523,forehand-volley
0.1756714,0.65002126,0.17849009,0.45222038,0.25971812,0.60421443,0.27089387,0.3359767,0.39637566,0.6143526,0.35559985,0.4061025,0.49080727,0.6275525,0.44929397,0.34877557,0.46267313,0.45046514,0.6332284,0.43249226,0.659048,0.5874211,0.84703755,0.39097422,0.88435495,0.637833,forehand-volley
0.16644146,0.6470833,0.16622038,0.45054072,0.25739348,0.6075093,0.2588699,0.3320364,0.3840348,0.5962521,0.34179503,0.40168816,0.46436775,0.61725,0.4405542,0.35069907,0.45606261,0.45365366,0.62540627,0.42689484,0.65594137,0.57555187,0.8492632,0.39866018,0.8849074,0.618675,forehand-volley
0.1654649,0.6410289,0.15530512,0.45303652,0.25831512,0.6190439,0.2528605,0.33659053,0.3868404,0.5837985,0.3374567,0.40647253,0.45025104,0.5972049,0.4335924,0.35688743,0.4548845,0.45702028,0.6273523,0.42511675,0.66087615,0.5730885,0.85089487,0.39890844,0.89090145,0.6086254,forehand-volley
0.15743722,0.6423248,0.1534213,0.45696813,0.25551015,0.6176038,0.25423294,0.34295222,0.37318414,0.5824348,0.32783717,0.41291615,0.41730636,0.5842637,0.42986143,0.35806787,0.45245147,0.46405312,0.6236789,0.43286347,0.65838075,0.57331955,0.8414724,0.40561017,0.8838708,0.6061729,forehand-volley
0.17784755,0.64247537,0.16527073,0.45944354,0.2615667,0.620703,0.26361114,0.34459025,0.37770793,0.5937911,0.32951137,0.4099053,0.43616247,0.5872952,0.43392146,0.36548966,0.45547968,0.4660946,0.6238178,0.43420216,0.65921986,0.5732293,0.8428082,0.4094318,0.8859812,0.60643286,forehand-volley
0.14626527,0.6446129,0.14487293,0.46183428,0.25251272,0.6172534,0.25293618,0.34555516,0.36808473,0.5877393,0.32527435,0.4064204,0.36750036,0.5100481,0.4223821,0.37348264,0.44025406,0.4684791,0.6222798,0.43654913,0.64420307,0.5720641,0.84305525,0.4129729,0.8797207,0.6138227,forehand-volley
0.14163011,0.6350776,0.15072998,0.45429927,0.25358558,0.6120476,0.25824958,0.34443304,0.367086,0.5924517,0.3192681,0.3999446,0.38936707,0.56517696,0.42883644,0.37655544,0.446038,0.4708516,0.62673426,0.4336359,0.64377743,0.5734801,0.8437687,0.4092983,0.87677133,0.6132104,forehand-volley
0.16942003,0.6424811,0.17273891,0.46243662,0.26346582,0.61634743,0.27656874,0.35240015,0.38638207,0.5940422,0.34541434,0.4032941,0.41115457,0.56377,0.4358155,0.37819296,0.45184535,0.475532,0.6338615,0.438068,0.6583816,0.5740509,0.8614763,0.41548967,0.8879823,0.61083424,forehand-volley
0.14394002,0.63394547,0.15858719,0.4556144,0.25323206,0.6189505,0.27115855,0.34927404,0.37097132,0.59637403,0.32791328,0.40545148,0.39284033,0.55546826,0.43086287,0.3817317,0.4507736,0.48822016,0.633433,0.43507916,0.65469146,0.5812954,0.8528001,0.41696668,0.8789217,0.6142029,forehand-volley
0.14231911,0.6322955,0.16642818,0.45434028,0.25283477,0.6216519,0.28492674,0.35721195,0.37135622,0.6031369,0.32556605,0.42176196,0.3802129,0.55338544,0.430197,0.39332736,0.44601318,0.49825752,0.63322186,0.44428957,0.6582686,0.5930184,0.86151254,0.42173153,0.8790909,0.6190217,forehand-volley
0.14427525,0.62318134,0.17675298,0.452311,0.25126532,0.62460077,0.29465327,0.36285564,0.3730775,0.60580146,0.32997835,0.43522477,0.36171824,0.54339224,0.43406624,0.40812322,0.44847256,0.5121876,0.640064,0.44647068,0.6599232,0.5945399,0.87207913,0.42129657,0.8808047,0.6196536,forehand-volley
0.14718881,0.6343675,0.18552499,0.4551149,0.25868154,0.62584186,0.30106884,0.36379015,0.38522023,0.6005051,0.3286442,0.44108808,0.36332452,0.54256624,0.44380558,0.40985864,0.4585697,0.514784,0.6470165,0.4479292,0.6664992,0.5951649,0.8755511,0.41987488,0.88849604,0.6243259,forehand-volley
0.13385239,0.61388737,0.18661469,0.45658445,0.24836068,0.6244281,0.30698466,0.36471033,0.3682555,0.60303223,0.3200996,0.44282812,0.3635151,0.5419581,0.4447117,0.41780612,0.46032363,0.52494186,0.6441275,0.4494122,0.6661163,0.6136008,0.872034,0.41967922,0.87741774,0.6284585,forehand-volley
0.12708433,0.6142391,0.18997017,0.4493026,0.24792813,0.63407797,0.3271905,0.37204492,0.3745258,0.61627036,0.3268076,0.48370868,0.35462937,0.5259109,0.44966623,0.43113467,0.46151525,0.536242,0.65526617,0.4555125,0.6710772,0.63389575,0.8815777,0.42052242,0.8781899,0.64771855,forehand-volley
