Shot,FrameId
backhand-volley,63
backhand-volley,176
backhand-volley,301
forehand-volley,410
forehand-volley,511
forehand-volley,645
backhand-volley,813
backhand-volley,914
backhand-volley,1028
backhand-volley,1143
backhand-volley,1267
backhand-volley,1531
backhand-volley,1630
forehand-volley,1730
forehand-volley,1838
forehand-volley,1959
backhand-volley,2054
backhand-volley,2160
backhand-volley,2261
backhand-volley,2358
forehand-volley,2454
forehand-volley,2562
backhand-volley,2686
backhand-volley,3215
backhand-volley,3320
forehand-volley,3442
