Shot,FrameId
backhand-volley,61
backhand-volley,159
backhand-volley,271
backhand-volley,373
forehand-volley,498
forehand-volley,595
backhand-volley,702
backhand-volley,814
forehand-volley,931
backhand-volley,1037
forehand-volley,1139
forehand-volley,1242
backhand-volley,1350
backhand-volley,1577
forehand-volley,1690
forehand-volley,1785
backhand-volley,1870
backhand-volley,1967
forehand-volley,2080
forehand-volley,2157
backhand-volley,2404
backhand-volley,2511
backhand-volley,2608
backhand-volley,2744
forehand-volley,2845
backhand-volley,2936
backhand-volley,3047
backhand-volley,3129
forehand-volley,3237
forehand-volley,3324
